Название текста,Язык,Русский язык,Уровень,Год,Оригинальное предложение,союз,группа,расположение частей,подлеж гл,подлеж прид,падеж гл,падеж прид,лицочисло,subject,null
Мой день и другие тексты,swe,FL,IH,,{{Kогда }} я  был  в  моей  стране  все  свободное  время  я  провожу  с  семьей  и  друзьями.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
Мой день и другие тексты,swe,FL,IH,,{{Когда }} я  вернулся  домой*@*  позавтракал  и  начал  писать.,когда,время,пг,null,мест,null,и,1ед,null мест,null
Каникулы,fr,FL,A1,,{{Когда }} я  маленькой*@*  посетела  этот  музей  каждое  воскресеное  с  родителями.,когда,время,пг,null,мест,null,и,1ед,null мест,null
Биография,fr,FL,B1,,{{Когда }} я  закончила  колледж*@*  я  сразу  начала  работать.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
Биография,fr,FL,B1,,Я  познакомилась  с  другой*@*  {{когда }} мне  было  двадцать  один  лет.,когда,время,гп,мест,мест,и,д,1ед,мест мест,other
Мой день,fr,FL,A2,,{{Когда }} я  ушду  я  буду  есть  с  подругои*@*  так  каждый  вторник.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
Мой день,fr,FL,A2,,{{Когда }} я  прииду  дома*@*  я  слушаю  музику  и  готовлю  овоши:  я  готовлю  суп  потому  что  каждое  воскресене*@*  с  друзями*@*  мы  идём  на  улицу  потому  что  есть  много  людей  без  дома*@*  значит  ним  даём  суп.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
Мой день,fr,FL,A2,,{{Когда }} я  встаю  я  сразу  открываю  окно  комнаты  и  я  делаю  зарядку.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
Про жизнь в России и в Японии,jap,FL,AL,,Я  из  Японии*@*  и  многий  город  в  Японии  очень  шумно  и  {{когда }} я  приехал  в  Россию*@*  в  Москве  я  чувствую  как ... немножко  тихо  в  городе*@*  потому  что  в  Токио  очень  шумно*@*  всегда  шумно.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
Путешествия ,ger,FL,B1,,{{Когда }} я  был  маленький*@*  конечно  я  путешествовал  с  семья*@*  но  сейчас  я  только  путешествую  с  моих  друзьями.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
Фантастические твари,jap,FL,IH,,У  нас  в  Японии*@*  в  Японии*@*  {{когда }} я  живела  в  Японии*@*  я  не  смотрела  кино*@*  не  очень  вместе (?)  не  всегда  в  Москве.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
Диалог обо всем,eng,FL,C2,,{{Когда }} я  была  в  школе  я  изучала  Латынь.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
Диалог обо всем,eng,FL,C2,,Я  знаю  немного*@*  я  изучала  русский  история*@*  {{когда }} я  была  в  школе.  -,когда,время,гп,мест,мест,и,и,1ед,мест мест,other
Диалог обо всем,eng,FL,C2,,Лондон  меньше  чем  в  России*@*  {{когда }} я  работала  в  Лондоне*@*  я  шла  пешком*@*  но  не  можно  в  России*@*  не  можно  идти  пешком  в  Москве.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
Рассказ про иностранные языки и Японию,jap,FL,IM,,На  самом  деле*@*  {{когда }} я  был  в  Японии*@*  я  жил  один*@*  потому  что  мой  университет  чуть-чуть  далеко  из  дома.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
Диалог о России и Италии,ita,FL,B1,,Ну  я  {{когда }} путешествую*@*  я  всегда*@*  ну  не  всегда*@*  а  обычно  живу  в  месте  не  только  например  месяц*@*  но  больше*@*  например  два  или  три  месяца. «,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
Как Вы проводите день?,fr,FL,A2,,{{Когда }} я  живу  в  городе*@*  мне  надо  ходить  в  парке.,когда,время,пг,мест,мест,д,и,1ед,мест мест,other
Как Вы проводите день?,fr,FL,A2,,{{Когда }} я  закончила*@*  я  иногда  моюсь  и  потом  я  одеваюсь  раншее  выходить  на  улице.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
Как Вы проводите день?,fr,FL,A2,,Каждый  день  и  {{когда }} я  приезжу  там*@*  я  говорю  с  друзьями.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
Как Вы проводите день?,fr,FL,A2,,{{Когда }} я  получаю  в  университет*@*  я  встречаюсь  с  друзьями  и  поговорить  с  ними.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
Как Вы проводите день?,fr,FL,A2,,{{Когда }} я  готова*@*  я  иду  на  университет  пешком.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
Как Вы проводите день?,fr,FL,A2,,{{Когда }} я  прихожу  дамой*@*  я  делаю  мой  домашние  задония  или  я  смотрю  телевизор.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
Как Вы проводите день?,fr,FL,A2,,{{Когда }} я  не  хожу  в  уроку*@*  я  занимаюсь  в  библиотеке.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
Как Вы проводите день?,fr,FL,A2,,Я  уходу  от  друзей  и  {{когда }} я  приходу  в  домой*@*  я  спаю.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
Как Вы проводите день?,fr,FL,A2,,В  выходные  я  не  могу  отдыхать:  в  субботу  я  работаю*@*  а  {{когда }} я  не  работаю*@*  я  готовлю  суп.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
Как Вы проводите день?,fr,FL,A2,,Во  выходные*@*  {{когда }} я  в  Лионе  я  сплю  утром  и  встаю  в  десять  часов.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
