Название текста,Язык,Русский язык,Уровень,Год,Оригинальное предложение,союз,группа,расположение частей,подлеж гл,подлеж прид,падеж гл,падеж прид,лицочисло,subject,null
expository (non-timed*@* paragraph*@* Capstone),eng,FL,AM,2011,Я выучила японский язык на слух {{пока}} я там жила*@* и конечно*@* были для меня много непонятных моментов.,пока,время,гп,мест,мест,и,и,1ед,мест мест,other
expository (non-timed*@* paragraph*@* Capstone),eng,FL,AL,2012-2013,Поскольку я в Нижнем не надолго*@* мне надо получать удовольствие от времени {{пока}} я здесь.,пока,время,гп,мест,мест,д,и,1ед,мест мест,other
expository (non-timed*@* paragraph*@* Capstone),eng,FL,AL,2011-2012,Поэтому я бы не дала очень холодную воду русскому или пила холодную воду {{пока}} ужинала с русскими.,пока,время,гп,мест,null,и,null,1ед,мест null,null
definition (non-timed*@* paragraph*@* Environmental Sustainability),eng,FL,AL,2011,Но {{пока}} мы обсуждаем устойчивое развитие*@* нам необходимо понимать*@* что этот концепт является гораздо больше чем только защита окружающей среды.,пока,время,пг,мест,мест,д,и,1мн,мест мест,other
expository (non-timed*@* paragraph*@* Capstone),eng,FL,AM,2012,Мне нравится*@* что {{пока}} я молодой*@* я поднимаюсь по лестнице на 5-й этаж и остаюсь здоровым и спортивным.,пока,время,пг,мест,мест,и,и,1ед,мест мест,other
Самая страшная история,kaz,HL,IL,,Так  я  простояла  примерно  пять- шесть  секунд*@*  {{пока }} не  почувствовала*@*  как  под  моими  ногами  что-то  скользит.,пока,время,гп,мест,null,и,null,1ед,мест null,null
x_FBS_Моя квартира,fin,HL,C2,,Мне  очень  нравится  эта  квартира*@*  и  я  буду  там  жить  всё  время*@*  {{пока }} буду  учиться  в  университете.,пока,время,гп,мест,null,и,null,1ед,мест null,null
Самая страшная история*@* которая произошла со мной,kaz,HL,IH,,{{Пока }} я  печатала  этот  текст*@*  я  только  что  вспомнила  одну  страшную  историю*@*  которая  произошла  со  мной*@*  когда  я  училась  и  жила  в  интернате.,пока,время,пг,мест,мест,и,и,1ед,мест мест,other
x_FBS_Здоровье и настроение.,fin,HL,B2,,{{Пока }} я  болела*@*  я  бросила  куриене  и  мне  сразуже  полехчело.,пока,время,пг,мест,мест,и,и,1ед,мест мест,other
Спорт – это не для всех ,fin,HL,B2,,Жизнь  это  движение  и  мы  живем  {{пока }} мы  двигаемся.,пока,время,гп,мест,мест,и,и,1мн,мест мест,other
Парк аттракционов.,fin,HL,B2,,Мы  переоделись*@*  и  напоследок  он  каждой  из  нас  купил  по  сахарной  вате*@*  которую  мы  ели*@*  {{пока }} шли  домой.,пока,время,гп,мест,null,и,null,1мн,мест null,null
текст 35,fin,FL,B2,,Он  всегда  говорит  прямо*@*  не  думая*@*  а  я  наоборот  молчу  {{пока }} не  уверенна *@*  что  на  скажу  что-нибудь  глупого.,пока,время,гп,мест,null,и,null,1ед,мест null,null
notags_EC12-A3-2491,eng,FL,IL,,Факт  такой -  {{пока }} мы  сами  не  станем  такими  друзями*@*  какими  нам  хотелось  бы  наслаждаться  в  своем  круге*@*  мы  не  будем  имет  таких  друзей.,пока,время,п_г,мест,мест,и,и,1мн,мест мест,other
ЕС12-А4-4676,eng,FL,IL,,В  это  же  время*@*  {{пока }} я  ждала*@*  я  познакомилась  с  Рейчель*@*  и  мы  с  ней  быстро  и  крепко  подружились.,пока,время,пг,мест,мест,и,и,1ед,мест мест,other
EC12-A3-9682,eng,FL,IL,,Я  не  знал  что  такое  жизнь*@*  {{пока }} не  взлетал  в  воздух!”,пока,время,гп,мест,null,и,null,1ед,мест null,null
Мой обычный день,kaz,HL,IH,,И  тогда*@*  {{пока }} мы  молодые  и  полны  сил*@*  мы  можем  добиться  своих  целей.,пока,время,пг,мест,мест,и,и,1мн,мест мест,other
Письмо 2,eng,FL,NL,,Я  могу  говорить  только  по-русски*@*  {{пока }} я  здесь  живу.,пока,время,гп,мест,мест,и,и,1ед,мест мест,other
Письмо 5,eng,FL,IM,,Или  я  снова  могу  посетить  Москву*@*  {{пока }} я  нахожусь  в  России*@*  если  это  лучше  для  них*@*  и  если  они  хотят  встретиться  со  мной.   нот- ( Еще  то*@*   я  хочу  пойти  в  баню!,пока,время,гп,мест,мест,и,и,1ед,мест мест,other
expository (timed (60 min)*@* paragraph*@* ACTR essay),eng,FL,IH,2009-2010,Вы можете представить себе*@* как мы были голодны {{{{после}}}} {{того}}*@* {{как}} мы купались четыре часа?,после того как,время,гп,мест,мест,и,и,1мн,мест мест,other
summary (non-timed*@* paragraph*@* Power and Imagination),eng,HL,IM,2008,Эта статья очень интересная и в ней рассказывается подробно о каждой гипотезе о НЛО*@* но {{{{после}}}} {{того}} {{как}} я прочитала эту статью*@* я поняла что есть гипотезы*@* которые намного ближе к реальности.,после того как,время,пг,мест,мест,и,и,1ед,мест мест,other
description (non-timed*@* paragraph*@* On Democracy),eng,FL,IM,2010-2011,Я помню*@* что я смотрел этот фильм не давно*@* {{{{после}}}} {{того}} {{как}} я сам изменил свою жизнь.,после того как,время,гп,мест,мест,и,и,1ед,мест мест,other
expository (non-timed*@* paragraph*@* Capstone),eng,FL,AL,2011-2012,Так как эта работа на занимает слишком много времени - только несколько часов в недели - я хочу продолжить её {{{{после}}}} {{того}}*@* {{как}} вернусь в США.,после того как,время,гп,мест,null,и,null,1ед,мест null,null
x_FBS_Интересное путешествие,fin,HL,B2,,{{{{После }}}} {{того*@* }} {{как }} я  окончила  гимназию –  в 2010  году –  я  решила*@*  что  хочу  по  жить*@*  по  работать  за  границой.,после того как,время,пг,мест,мест,и,и,1ед,мест мест,other
x_FBS_Здоровье и настроение.,fin,HL,B2,,Я  стала  интересоваться  здоровьем  {{{{после }}}} {{того }} {{как }} застудила  себе  почки.,после того как,время,гп,мест,null,и,null,1ед,мест null,null
Мой друг,fin,HL,B2,,Естественно*@*  мы  оба  изменились  {{{{после }}}} {{того*@* }} {{как }} мы  первый  раз  встретились.,после того как,время,гп,мест,мест,и,и,1мн,мест мест,other
Дети*@* родители и воспитание в России и в Финляндии,fin,FL,B2,,{{{{После }}}} {{того*@* }} {{как }} я  сам  несколько  раз  сидел  дома  с  сыном*@*  я  понял*@*  что  это  настоящая  работа  и  все  мамы  и  папы*@*  сидящие  дома  с  детьми*@*  заслуживают  и  уважения  людей  и  поддержки  общества.,после того как,время,пг,мест,мест,и,и,1ед,мест мест,other
Мой русский язык,fin,FL,B2,,{{{{После }}}} {{того*@* }} {{как }} я  переехала  обратно  в  Финляндию*@*  естественно*@*  мне  стала  сложнее  разговаривать  на  русском  языке.,после того как,время,пг,мест,мест,и,д,1ед,мест мест,other
9116,eng,HL,IL,,Сразу  {{{{после }}}} {{того*@* }} {{как }} мы  начали  друг  с  другом  болтаться*@*  мы  заметили*@*  что  у  нас  обоих  много  общего.,после того как,время,пг,мест,мест,и,и,1мн,мест мест,other
9643,eng,HL,IL,,Попоже  в  ночи*@*  {{{{после }}}} {{того*@* }} {{как }} мы  всем  поспали*@*  мы  слышали  большой  шум.,после того как,время,гпг,мест,мест,и,и,1мн,мест мест,other
notags_EC12-A3-3300,eng,FL,IL,,Что  я  делаю  {{{{после }}}} {{того }} {{как }} я  он  неё  отхожу?,после того как,время,гп,мест,мест,и,и,1ед,мест мест,other
А3 – 7522 ЧтоТакоеДруг,eng,FL,IL,,{{{{После }}}} {{того*@* }} {{как }} мы  ездили  в  Баку*@*  мы  поехали  в  Грузию  и  встретились  с  друзьями  в  Тибилиси.,после того как,время,пг,мест,мест,и,и,1мн,мест мест,other
EС12-A4-0041,eng,FL,IL,,Я  его  ни  один  раз  не  видел  {{{{после }}}} {{того*@* }} {{как }} ушёл  из  школы  в  последний  день  занятий  шестого  класса.,после того как,время,гп,мест,null,и,null,1ед,мест null,null
ЕС12-А4-4057,eng,FL,IL,,{{{{После }}}} {{того*@* }} {{как }} я  узнал*@*  что  мой  брат  уже  являлся  взрослым*@*  признаваясь  в  том*@*  что  он  даже  оказался  более  опытным  меня  в  разных  сферах  жизни*@*  я  стал  подходить  к  нему  так  же*@*  как  к  однокурсникам.,после того как,время,п_г,мест,мест,и,и,1ед,мест мест,other
FBS_79. Жизнь непредсказуема ,fin,HL,Other,,Только  {{{{после }}}} {{того*@* }} {{как }} я  провела  несколько  уроков*@*  я  начала  мыслить  по-другому.,после того как,время,пг,мест,мест,и,и,1ед,мест мест,other
FBS_79. Жизнь непредсказуема ,fin,HL,Other,,{{{{После }}}} {{того*@* }} {{как }} я  поступила  и  осенью  начала  учебу*@*  я  ей  уже  сама  написала  и  сообщила  что  поступила*@*  поблагодарила  её  за  внимание.,после того как,время,пг,мест,мест,и,и,1ед,мест мест,other
Качество жизни в моей стране,ger,FL,AM,,Две  недели  {{{{после }}}} {{того*@* }} {{как }} я  получил  диагноз*@*  я  был  оперирован.,после того как,время,пг,мест,мест,и,и,1ед,мест мест,other
Моя неделя,fr,FL,A1,,{{{{После }}}} {{того }} {{как }} я  приготовлюсь*@*  я  выхожу  из  дома*@*  чтобы  идти  на  работу.,после того как,время,пг,мест,мест,и,и,1ед,мест мест,other
"Как я понимаю стихотворение ""Блудный сын""",chi,FL,C2,,Потом  {{{{после }}}} {{того*@* }} {{как }} я  перечитала  это  стихотворение  несколько  раз*@*  я  получила  новые  понятия  с  точки  зрения  сына.,после того как,время,пг,мест,мест,и,и,1ед,мест мест,other
О выборе профессии,kaz,HL,IL,,Я  тщательно  изучила  русский  язык  {{{{после }}}} {{того*@* }} {{как }} поступила  в  КазНПУ  имени  Абая.,после того как,время,гп,мест,null,и,null,1ед,мест null,null
expository (non-timed*@* paragraph*@* Capstone),eng,HL,AM,2012-2013,Перед тем {{{{как}}}} {{я}} {{поехала}} в Россию я боялась*@* что здесь молодежь совсем другая и мне будет сложно.,перед тем как,время,пг,мест,мест,и,и,1ед,мест мест,other
research paper (draft 1) (non-timed*@* paragraph*@* Russian in the Major),eng,HL,AL,2010-2011,{{{{Перед}}}} {{тем}}*@* {{как}} мы продолжим изложение информации и анализа ИРЧП*@* нам необходим не много познакомиться с ПРООН.,перед тем как,время,пг,мест,мест,д,и,1мн,мест мест,other
Моя бабушка,kaz,HL,IH,,{{{{Перед }}}} {{тем*@* }} {{как }} мы  собирались  рассказывать  что-нибудь  важное*@*  спрашивали  друг  у  друга  пароль.,перед тем как,время,пг,null,мест,null,и,1мн,null мест,null
x_FBS_(Как жить одному),fin,HL,B2,,{{{{Перед }}}} {{тем }} {{как }} я  уехала  из  дома*@*  я  уже  пару  лет  духовно  готовилась  к  этому.,перед тем как,время,пг,мест,мест,и,и,1ед,мест мест,other
А3 – 7047 ЧтоТакоеДруг,eng,FL,IL,,{{{{Перед }}}} {{тем }} {{как }} я  её  встретила*@*  я  никогда  не  слышала  русский  язык.,перед тем как,время,пг,мест,мест,и,и,1ед,мест мест,other
narration and description (semifinal draft) (non-timed*@* paragraph*@* On Democracy),eng,FL,IM,2010-2011,{{Когда}} я жила в Казахстане*@* я решила поехать сама в Алматы - большой город*@* который находится недалеко от городка*@* где я жила.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
narration and description (semifinal draft) (non-timed*@* paragraph*@* On Democracy),eng,FL,IM,2010-2011,Хотя {{когда}} я вышла из автобуса*@* я была слишком озабочена тем*@* куда я пойду*@* а не тем*@* как я вернусь обратно.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
description (non-timed*@* paragraph*@* Capstone),eng,FL,AL,2011-2012,Журнал описание человека) Первый раз когда я {{встречала}} директора кафедры иностранного языка в академии*@* я немножко боялась ее.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
expository (non-timed*@* paragraph*@* Capstone),eng,FL,AM,2011-2012,Я не знаю об офицальном праве женщин в России*@* но я видела много интересного*@* когда я {{жила}} в Москве.,когда,время,гп,мест,мест,и,и,1ед,мест мест,other
description (non-timed*@* paragraph*@* American Studies),eng,FL,AL,2012-2013,Как я уже заметила*@* здание было построено в стиле арт- деко*@* и {{когда}} я смотрю на него*@* мне кажется*@* что я на самом деле живу в другом времени.,когда,время,пг,мест,мест,д,и,1ед,мест мест,other
expository (non-timed*@* paragraph*@* Senior Capstone),eng,FL,AM,2011,{{Когда}} мы вдруг понимаем*@* что мы взрослые люди*@* мы часто пытаемся вспомнить*@* был ли один момент*@* {{когда}} мы перешли из детства до взрослости?,когда,время,п_г,мест,мест,и,и,1мн,мест мест,other
expository (non-timed*@* paragraph*@* Russian in the Major),eng,HL,AL,2009,В Томске*@* у нас был Дом Ученого»*@* и*@* {{когда}} я была маленькая*@* я всегда думала*@* что там сидит человек в очках и читает много различных книг по разным наукам.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
argumentation (non-timed*@* paragraph*@* Advanced Russian),eng,FL,AL,2011,Я вообще был в восторге*@* {{когда}} я слушал вашу речь и ваши аргументы.,когда,время,гп,мест,мест,и,и,1ед,мест мест,other
expository (non-timed*@* paragraph*@* Russian in the Major),eng,FL,AM,2012-2013,Более того*@* он задаёт несколько вопросов*@* и {{когда}} я читаю вопрос*@* часто кажется мне*@* что один человек говорит мне и старается установить личную связь со мной.,когда,время,пг,мест,мест,д,и,1ед,мест мест,other
expository (non-timed*@* paragraph*@* Russian in the Major),eng,FL,IH,2012-2013,Поэтому {{когда}} я читал*@* что согласно Марксу*@* религия - опиум народа*@* я сразу узнал*@* что я*@* в возрасте девяти лет - прирожденный Марксист.,когда,время,п_г,мест,мест,и,и,1ед,мест мест,other
expository (non-timed*@* paragraph*@* Russian in the Major),eng,FL,IH,2012-2013,{{Когда}} я стал способен смотреть на разные стороны католицизма и их взаимодействия друг с другом*@* я понял*@* что я не точно Марксист.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
expository (non-timed*@* paragraph*@* Russian Literature),eng,FL,AL,2010-2011,{{Когда}} я это читала*@* я поняла*@* почему я получила от моего чтения такое очень поверхное понятие.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
expository (non-timed*@* paragraph*@* Capstone),eng,FL,AL,2011-2012,Я желаю*@* что*@* {{когда}} я хочу пить воду*@* я могу идти в раковину и пить воду*@* которая была чистая и холодная.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
expository (non-timed*@* paragraph*@* Capstone),eng,FL,AL,2011-2012,{{Когда}} я хочу в центральный парк в Нижнем Новгороде*@* мне надо или ехать минут тридцать пять на второй автобусе*@* на котором всегда есть так много людей*@* что часто почти невозможно взойти на лестинце*@* или надо пойдти пешком два и половина часа.,когда,время,пг,мест,мест,д,и,1ед,мест мест,other
expository (non-timed*@* paragraph*@* Capstone),eng,FL,AL,2011-2012,Может быть*@* меня балвали в США*@* где я могу текстировать и звонить любимых по телефону тогда*@* {{когда}} я хотела*@* но в первых двух неделях в России*@* {{когда}} у меня не было возможность делать больше*@* чем послать электронную почту через каждый второй день*@* было очень трудно.,когда,время,гп,мест,мест,и,и,1ед,мест мест,other
expository (non-timed*@* paragraph*@* On Democracy),eng,FL,IH,2010-2011,{{Когда}} я только что вернулась*@* я могла вести себя хорошо*@* улыбаться и объяснить*@* что у русских сейчас действительно свои джинсы*@* но через несколько месяцев мне надоела.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
description (non-timed*@* paragraph*@* Capstone),eng,FL,AL,2011-2012,{{Когда}} мы делали это*@* мы сравнили наши опыты изучения за границу.,когда,время,пг,мест,мест,и,и,1мн,мест мест,other
expository (non-timed*@* paragraph*@* Capstone),eng,FL,AL,2011-2012,Этом году я несколько раз переехала через политические границы*@* которые означают*@* что я сейчас в другой культуре*@* и мне должно говорить в другом Еще есть воображаемые границы*@* котороые означают*@* что я в такой ситуации или с такими-то людьми*@* где мне надо вести себя {{Когда}} я работаю*@* я иду в красивой одежде и не употребляю сланг – все*@* что я не делаю*@* {{когда}} отдыхаю Таким образом я недавно заметила*@* что важная граница для меня сейчас - это та между студентом и преподавателем.,когда,время,гп,мест,null,и,null,1ед,мест null,null
expository (non-timed*@* paragraph*@* Capstone),eng,FL,AL,2011-2012,Я провела два года в качестве учителя английского языка в Казахстане*@* и теперь я преподаваю в Нижном Новгороде*@* но я чувствую факт*@* что у меня мало обучения быть Поэтому я не так уверено в себе*@* {{когда}} я стаю впереди студентов.,когда,время,гп,мест,мест,и,и,1ед,мест мест,other
expository (non-timed*@* sentences*@* European Studies),eng,FL,AL,2012-2013,{{Когда}} он был императором*@* он старался вступить российское общество в эпоху демократизации.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
questions (non-timed*@* paragraph*@* Capstone),eng,HL,AM,2012,Каждый раз когда я {{бываю}} в России*@* замечаю*@* что очень мало инвалидов на улице*@* в общественных местах.,когда,время,пг,null,мест,null,и,1ед,null мест,null
answers to questions (timed (7 min)*@* sentences*@* European Studies),eng,HL,IH,2009-2010,Из- за того*@* что я иммигрировала в Америку*@* {{когда}} мне было 10 лет*@* я не потеряла язык и русскую культуру.,когда,время,гп,мест,мест,и,д,1ед,мест мест,other
expository (timed (60 min)*@* paragraph*@* ACTR essay),eng,HL,AL,2011-2012,{{Когда}} я была маленькой я была очень стеснительная.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
description (non-timed*@* paragraph*@* Capstone),eng,FL,AL,2011-2012,Поэтому я быстро привыкла к жизни в России и все с нетерпением жду*@* {{когда}} я вернуться в и продолжать изучение и языка.,когда,время,гп,мест,мест,и,и,1ед,мест мест,other
summary and supported opinion (non-timed*@* paragraph*@* Russian in the Major),eng,FL,AL,2010-2011,Я*@* на пример*@* не использую их*@* {{когда}} я серьёзно кому- то ругаю.,когда,время,гп,мест,мест,и,и,1ед,мест мест,other
summary and supported opinion (non-timed*@* paragraph*@* Russian in the Major),eng,FL,AL,2010-2011,Я их использую*@* {{когда}} я в хорошем настроением*@* на вечеринке*@* с друзьями.,когда,время,гп,мест,мест,и,и,1ед,мест мест,other
expository (timed (60 min)*@* paragraph*@* ACTR essay),eng,HL,AL,2010-2011,Что я люблю? Когда мне {{было}} девять лет я впервые услышала как звучит итальянский язык.,когда,время,пг,мест,мест,и,д,1ед,мест мест,other
expository (timed (60 min)*@* paragraph*@* ACTR essay),eng,HL,AL,2010-2011,Я решила*@* что*@* {{когда}} я вырасту я обязательно выучу итальянский язык и поеду в Италию.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
expository (non-timed*@* paragraph*@* Capstone),eng,FL,AL,2011-2012,{{Когда}} я вернулась домой для лета*@* я думала*@* что трудности года уже закончили.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
expository (non-timed*@* paragraph*@* Capstone),eng,FL,AL,2011-2012,Я думаю*@* что {{когда}} мы относимся к трудностям как новым опытам*@* мы бы больше наслаждались жизнь и узнали больше из опытов.,когда,время,пг,мест,мест,и,и,1мн,мест мест,other
answers to questions (non-timed*@* paragraph*@* Russian History),eng,HL,AL,2010-2011,Ещё я очень удивилась*@* {{когда}} увидела женщину – комиссаршу.,когда,время,гп,мест,null,и,null,1ед,мест null,null
paraphrase (non-timed*@* paragraph*@* Russian in the Major),eng,FL,AM,2012-2013,{{Когда}} мне было около 8 лет*@* по просьбе своей матери я начал учиться в католической школе по воскресеньям.,когда,время,пг,мест,мест,и,д,1ед,мест мест,other
expository (non-timed*@* paragraph*@* Russian Overseas Flagship Essay),eng,HL,AL,2011,{{Когда}} я переехала в США я заметила*@* что далеко не все ученики планируют получить высшее образование.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
argumentation (non-timed*@* paragraph*@* Russian Literature: Poets and Politics),eng,FL,AL,2011-2012,И {{когда}} я слышу музыку*@* я не слушаю*@* я не думаю – я чувствую.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
expository (non-timed*@* paragraph*@* Capstone),eng,FL,AM,2011-2012,{{Когда}} я это слышала*@* я смеялась.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
expository (non-timed*@* paragraph*@* Capstone),eng,FL,AM,2011-2012,Но я могу стараться в тот момент*@* {{когда}} я почувсвтвую свою реакцию*@* сделать паузу*@* чтобы дышать и пытаться глубже анализировать ситуацию.,когда,время,гп,мест,мест,и,и,1ед,мест мест,other
expository (non-timed*@* paragraph*@* Capstone),eng,FL,AL,2011-2012,Обычно*@* {{когда}} мы думаем о способности к общению*@* мы думаем просто о языке и разговоре.,когда,время,пг,мест,мест,и,и,1мн,мест мест,other
expository (non-timed*@* paragraph*@* Capstone),eng,FL,AL,2011-2012,{{Когда}} мы все вместе*@* нам надо использовать три языка.,когда,время,пг,мест,мест,д,и,1мн,мест мест,other
narration (timed (30 min)*@* paragraph*@* ACTR Essay),eng,FL,IH,2010-2011,{{Когда}} я воспытаю своих детей*@* я хочу учить их любить языки*@* как я*@* но больше всего*@* я хочу*@* чтобы они любили семью и понимали*@* что семья - самая важная вещь на всем планете.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
expository (non-timed*@* paragraph*@* Capstone),eng,HL,AL,2012,{{Когда}} я говорю о государственой поддержке я имею ввиду*@* помощь развитию малого и среднего бизнеса*@* упраснение налогов*@* и тд.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
definition (non-timed*@* sentences*@* Russian in the Major),eng,FL,AL,2010-2011,Мой коментарий: oсобенно*@* {{когда}} мы говорим о социальных и психологических основах образования*@* мы должны понять*@* что мы*@* как люди*@* смотрем на все эти вопросы через какую-то рамку.,когда,время,пг,мест,мест,и,и,1мн,мест мест,other
expository (timed (60 min)*@* -*@* ACTR essay),eng,FL,AL,2010-2011,{{Когда}} мы играем мы слушаем новости по радио или телевизору*@* обсуждаем что надо делать или не делать*@* придумаем как можно получить деньги не работая много*@* спорим.,когда,время,пг,мест,мест,и,и,1мн,мест мест,other
description (non-timed*@* paragraph*@* Globalization),eng,FL,IM,2011-2012,Я видела три разных Макдональдса {{когда}} я хожу на кампус каждый день*@* и я всегда хочу знать*@* почему это такой популярный ресторан.,когда,время,гп,мест,мест,и,и,1ед,мест мест,other
description (non-timed*@* paragraph*@* Globalization),eng,FL,IM,2011-2012,Я буду там есть каждый день*@* {{когда}} я в США.,когда,время,гп,мест,мест,и,и,1ед,мест мест,other
expository (timed (60 min)*@* paragraph*@* ACTR essay),eng,FL,IM,2010-2011,Я сразу улыбнулась*@* {{когда}} я видела*@* что это от него*@* но я понила*@* что это*@* {{когда}} я читала слова – Извини*@* но...,когда,время,гп,мест,мест,и,и,1ед,мест мест,other
expository (timed (60 min)*@* paragraph*@* ACTR essay),eng,FL,IM,2010-2011,Мы сидела так долго*@* но {{когда}} я пришла домой*@* я не стала лучшой.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
supported opnion (non-timed*@* paragraph*@* Russian Literature),eng,FL,IM,2009-2010,{{Когда}} я первый раз читала их разговор*@* мне было нужно перечитать ещё полтора раз*@* потому что я не понимала что случилось.,когда,время,пг,мест,мест,д,и,1ед,мест мест,other
narration (non-timed*@* -*@* Russian in the Major),eng,HL,IH,2009-10,Например*@* {{когда}} мы приходим в военный музей мы переступаем порог времени и уходим во время войны*@* здесь мы можем смотреть на страшные оружие и фотографии и письма от людей*@* которые прожили через ужасное время здесь мы можем видеть*@* какой ущерб война может принести людям и в себе мы можем принять решение*@* что мы не будем поддерживать войны.,когда,время,пг,мест,мест,и,и,1мн,мест мест,other
expository (non-timed*@* paragraph*@* Capstone),eng,HL,AM,2012,Но с дрогой стороны*@* я лично считаю*@* что*@* {{когда}} мы посещаем занятие в универе*@* общаемся с другими студентами*@* слушаем их мнение на разные темы*@* ведем беседы с преподавателями*@* мы не только учимся*@* как взаимодействовать друг на друга*@* как понимать людей и высказывать свое мнение*@* но мы также узнаем новую информацию*@* которую мы может быть другим образом никогда не узнали бы.,когда,время,пг,мест,мест,и,и,1мн,мест мест,other
description (non-timed*@* paragraph (oral presentation speech final draft)*@* Environmental Sustainability),eng,FL,AL,2011,Но Давид нам покажет*@* что*@* к сожалению*@* в реальности глобальная ситуация не такая оптимистическая*@* как мы бы думали {{когда}} мы видим такие факты.,когда,время,гп,мест,мест,и,и,1мн,мест мест,other
description (non-timed*@* paragraph*@* Capstone),eng,HL,AM,2012-2013,В отличие других город России*@* {{когда}} я предлагала молодым людям пойти со мной в театр*@* то получала отказ.,когда,время,пг,null,мест,null,и,1ед,null мест,null
supported opinion (timed (5 min)*@* paragraph*@* FRINQ Globalization),eng,FL,AL,2011-2012,В прошлом {{когда}} я ела в таком ресторане*@* я не очень наслаждалась едой – обычно она слишком полезная*@* а не очень вкусная.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
expository (non-timed*@* paragraph*@* Capstone),eng,HL,AM,2012-2013,{{Когда}} я училась в Питере этим летом*@* я любила гулять по городу и смотреть на то*@* как люди там одеваются.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
argumentation (non-timed*@* paragraph*@* European Studies),eng,FL,AL,2012-2013,Каждый раз*@* {{когда}} я слышу такую цифру*@* мне становится стыдно – стыдно*@* потому что я живу в стране*@* где государство не заботится о своих гражданах...,когда,время,пг,мест,мест,д,и,1ед,мест мест,other
expository (non-timed*@* paragraph*@* ROF essay),eng,FL,AL,2010-2011,{{Когда}} я туда приехала*@* я не говорила ни одного слово по-японски*@* но в течение этих двух лет я выучила не только*@* как говорить в этом языке*@* а вообще*@* как прожить в другой стране.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
expository (non-timed*@* paragraph*@* ROF essay),eng,FL,AL,2010-2011,Поэтому*@* {{когда}} я решила поехать в Москву*@* я села у компьютера*@* искала группы и клубы*@* в которых я могла бы участвовать.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
expository (non-timed*@* paragraph*@* ROF essay),eng,FL,AL,2010-2011,Потом*@* {{когда}} я была в Москве уже шесть месяцев*@* я нашла ещё группу друзей.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
expository (non-timed*@* paragraph*@* ROF essay),eng,FL,AL,2010-2011,Я работала*@* сама нашла место жить и ездила на общественном транспорте*@* куда и*@* {{когда}} хотела.,когда,время,гп,мест,null,и,null,1ед,мест null,null
expository (non-timed*@* paragraph*@* Advanced Russian),eng,FL,AL,2011-2012,Самый известный пример этого китча – матрёшка*@* особенно вид матрёшки*@* который я увидел*@* {{когда}} был в России: матрёшка лидеров СССР и РФ Путин внутри Ельцина внутри Горбачёва внутри Сталина внутри Ленина).,когда,время,гп,мест,null,и,null,1ед,мест null,null
definition (non-timed*@* paragraph*@* Russian in the Major),eng,FL,IM,2009-2010,По материялам Би-би-си Я первый раз встретила с этим словом {{когда}} я был в Санкт-Петербург в 2007-ом году.,когда,время,гп,мест,мест,и,и,1ед,мест мест,other
expository (non-timed*@* paragraph*@* FRINQ Globalization),eng,FL,AL,2011-2012,И {{когда}} я не там*@* я обычно делаю домашнее задание.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
expository (non-timed*@* paragraph*@* FRINQ Globalization),eng,FL,AL,2011-2012,Каждый раз*@* {{когда}} я приезжает на новое места*@* я чувствую себя такой счастливой и возбуждённой*@* и {{когда}} я уезжает*@* я чувствую себя как-то изменённой в хорошем смысле*@* конечно).,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
expository (non-timed*@* paragraph*@* Capstone),eng,HL,AM,2012,Я мало знаю об Американском телевидении*@* так как я практически не смотрела телевизор*@* {{когда}} жила в Америке.,когда,время,гп,мест,null,и,null,1ед,мест null,null
expository (non-timed*@* paragraph*@* Capstone),eng,FL,AL,2012-2013,{{Когда}} я не работю в академии*@* я обычно хожу по улицам*@* либо покупать что-то*@* либо просто осматривать город.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
expository (non-timed*@* paragraph*@* Capstone),eng,FL,AL,2012-2013,{{Когда}} я могу преодолеть свои отношения о других*@* я могу оценивать их*@* как человеческих существований*@* которые хотят жить спокойно и весело*@* как и я.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
