Название текста,Язык,Русский язык,Уровень,Год,Оригинальное предложение,союз,группа,расположение частей,подлеж гл,подлеж прид,падеж гл,падеж прид,лицочисло,subject,null
текст 2,fin,FL,B2,,{{Когда }} я  была  в  девятом  классе*@*  я  ходила  на  конюшню  шесть  раза  в  неделю  даже  если  у  меня  не  было  лошадь  собственную.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
Профессии и увлечения,fin,FL,B2,,Я  хотела  пойти  учиться  в  университет  уже  {{когда }} я  кончила  гимназию.,когда,время,гп,мест,мест,и,и,1ед,мест мест,other
Учеба и обучение в университетах в Финляндии и в России некоторые сравнительные заметки.,fin,FL,B2,,Я  лично  интересовался  с  темой  уже  в 1996- ом  году  {{когда }} учился  в  Санкт-Петербурге  три  месяча  в  Государственном  университете  и  в  разговорах  с  русскими  студентами  оказалось*@*  что  системы  во  многом  отличаются  друг  от  друга.,когда,время,гп,мест,null,и,null,1ед,мест null,null
Почему русские женщины похожи на проституток по мнению финнов?,fin,FL,B2,,Один  из  моих  друзьей  однажды  сказал*@*  что  {{когда }} русская  женщина  молодая*@*  она  такая  красавица  и  следит  за  своей  внешностью*@*  но  {{когда }} она  по- старше*@*  замужем  и  у  него  дети*@*  она  толстеет  и  кончит  думать  о  свою  внешность.,когда,время,пг,мест,сущ,и,и,3ед,мест сущ,other
Почему русские женщины похожи на проституток по мнению финнов?,fin,FL,B2,,Это  легко  говорить*@*  что  женщины  в  Франции  или  Италии  одеваются  стильно*@*  потому  что  им  не  надо  подумать  о  погоде*@*  {{когда }} они  вибырают  одежду.,когда,время,гп,мест,мест,д,и,3мн,мест мест,other
текст 14,fin,FL,B2,,Но  Финляндия  ей  стала  вторым  домом*@*  и  иногда*@*  {{когда }} она  ездит  туда*@*  она  начинает  скучать  по  Финляндии.,когда,время,пг,мест,мест,и,и,3ед,мест мест,other
текст 19,fin,FL,B2,,Моя  младшая  сестра -  невысокая  девушка  и  это  всегда  самое  первое  дело*@*  на  которое  люди  обратят  внимание*@*  {{когда }} её  первый  раз  встретят.,когда,время,гп,сущ,null,и,null,3мн,сущ null,null
текст 20,fin,FL,B2,,Год  назад*@*  {{когда }} я  очень  много  тренировалась*@*  я  могла  бегать 50  километров  в  неделю*@*  но  уже  нет.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
Разница между русскими и финнами,fin,FL,B2,,{{Когда }} придёшь  домой  русского  человека*@*  то  сразу  отметишь*@*  что  русские  более  гостеприимные*@*  чем  финны.,когда,время,пг,null,null,null,null,2ед,null null,null
Разница между русскими и финнами,fin,FL,B2,,Во-вторых*@*  {{когда }} находишься  в  русском  доме*@*  можешь  видеть*@*  что  там  очень  много  людей  живёт*@*  даже  в  одном  маленьком  квартире.,когда,время,пг,null,null,null,null,2ед,null null,null
«Российская империя»,fin,FL,B2,,Интересна  как  Екатерина  II  была  бедная*@*  {{когда }} она  приехала  в  России.,когда,время,гп,сущ,мест,и,и,3ед,сущ мест,other
